Faceta 1,Recerca i transferència,Búsqueda y transferencia,Research and transfer
Faceta 1,Docència i aprenentatge,Docencia y aprendizaje,Teaching and learning
Faceta 1,Gestió i administració,Gestión y administración,Management and administration
Faceta 1,Lloc de treball/eines personals,Puesto de trabajo/herramientas personales,Workplace/personal tools
Faceta 2,Estudiants de grau i màster,Estudiantes de grado y máster,Undergraduate and Master's students
Faceta 2,Estudiants de doctorat,Estudiantes de doctorado,PhD students
Faceta 2,Professorat,Profesorado,Teaching staff
Faceta 2,Personal d'administració i serveis,Personal de administración y servicios,Administration and services staff
Faceta 2,Externs,Externos,External
Faceta 3,UPCnet,UPCnet,UPCnet
Faceta 3,Terrassa,Tarrassa,Tarrassa
Faceta 3,Movistar,Movistar,Movistar
Faceta 4,Aplicació web,Aplicación web,Web application
Faceta 4,Aplicació d'escriptori,Aplicación de escritorio,Desktop application
Faceta 4,Aplicació mòbil,Aplicación móvil,Mobile application
Faceta 4,Servei,Servicio,Service
